YEAR,Car_Age,MILEAGE,CAR_PRICE,Website
2022,2,26984,28991,Cargurus 
2021,3,62798,21255,Cargurus 
2022,2,15390,26922,Cargurus 
2021,3,31000,24691,Craiglist 
2020,4,46928,23991,Cargurus 
2018,6,48398,21991,Craiglist 
2018,6,56022,24981,Cargurus 
2023,1,26444,24700,Cargurus 
2019,5,48500,15995,Craiglist 
2023,1,25385,24926,Cargurus 
2022,2,7210,26292,Cargurus 
2022,2,45991,24991,Cargurus 
2021,3,52887,22574,Cargurus 
2021,3,31443,22888,Cargurus 
2022,2,33973,23999,Cargurus 
2021,3,51538,23319,Cargurus 
2020,4,73309,19999,Cargurus 