Date,Day of the Week,Amount,Description,Category ,Method of Payment,Need/Want/Saving
8/23/24,Friday,111.70,Contact Lenses,Necessaties,Debit,Need
8/24/24,Saturday,14.39,Panda Express,Food,Debit,Need
8/25/24,Sunday,64.47,Clothes,Necessaties,Debit,Want
8/26/24,Monday,11.10,7 Eleven,Entertainment and Recreation,Debit,Want
8/27/24,Tuesday,9.54,Jollibee,Food,Debit,Want
8/27/24,Tuesday,9.45,Skyline Breakfast,Food,Debit,Want
8/28/24,Wednesday,40.30,Clothes,Necessaties,Debit,Need
8/28/24,Wednesday,8.50,Uber,Travel,Debit,Need
8/29/24,Thursday,8.74,Skyline Breakfast,Food,Debit,Want
8/30/24,Friday,14.28,Skyline Breakfast,Food,Debit,Want
8/31/24,Saturday,309.97 ,Americas's Best Eyelglasses ,Necessaties,Debit,Need
8/31/24,Saturday,13.39,Chick Fil A ,Food,Debit,Need
8/31/24,Saturday,7.85,Splash Fruits ,Food,Debit,Need
8/31/24,Saturday,16.02,Tokyo Grill ,Food,Debit,Need
8/31/24,Saturday,31.74,Sephora ,Entertainment and Recreation,Debit,Want
9/1/24,Sunday,8.78,Clothes ,Necessaties,Debit,Need
9/2/24,Monday,0.00,,,,Savings
9/3/24,Tuesday,0.00,,,,Savings