Timestamp,work_status,sleep_time
10/31/2024 12:12:46,YES,8.5
10/31/2024 12:22:18,NO,
10/31/2024 12:26:40,YES,6
10/31/2024 12:27:41,NO,5
10/31/2024 12:27:47,NO,7
10/31/2024 12:31:14,NO,7
11/1/2024 10:02:35,NO,7
11/1/2024 10:02:52,YES,7
11/1/2024 10:37:45,YES,5
11/1/2024 10:37:52,NO,6
11/1/2024 10:38:00,NO,8
11/1/2024 10:38:08,YES,7
11/1/2024 10:38:19,NO,6
11/1/2024 10:38:32,YES,6
11/1/2024 10:38:51,NO,8
11/1/2024 10:38:59,NO,6
11/1/2024 10:39:06,YES,8
11/1/2024 10:41:48,NO,5
11/1/2024 10:43:45,NO,6
11/1/2024 10:43:55,NO,6.5
11/1/2024 10:47:59,NO,7
11/1/2024 10:48:08,YES,7
11/1/2024 10:48:23,YES,6
11/1/2024 10:48:30,YES,6
11/1/2024 10:48:40,NO,5
11/1/2024 10:48:47,NO,8
11/1/2024 10:48:55,NO,6
11/1/2024 10:49:02,YES,5
11/1/2024 10:49:08,YES,7
11/1/2024 10:49:16,NO,7
11/1/2024 10:49:23,YES,7
11/1/2024 10:49:29,NO,5
11/1/2024 10:49:36,NO,6
11/1/2024 10:49:45,NO,4
11/1/2024 10:49:54,YES,8
11/1/2024 10:50:02,YES,4
11/1/2024 10:50:10,YES,7
11/1/2024 10:50:18,NO,9
11/1/2024 10:50:44,YES,6
11/1/2024 10:50:51,YES,5
11/1/2024 10:51:26,YES,5
11/1/2024 10:51:39,YES,5
11/1/2024 10:51:49,YES,6
11/1/2024 10:52:00,YES,7
11/1/2024 10:52:15,YES,4
11/1/2024 10:52:27,NO,5
11/1/2024 10:52:36,YES,4
11/1/2024 10:52:54,NO,4
11/1/2024 10:53:04,YES,5
11/1/2024 10:53:20,YES,6
11/1/2024 10:53:42,YES,4
11/1/2024 10:53:54,YES,6
11/1/2024 10:54:27,NO,9